,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
2595,6.0,900.1516698999999,88194.3206,Social,300.0505566,No,293.9315347,Yes,Female,After_16:00,0.045639919,0.115285765,2.554705867,2.530045465,5.954510865,,,75.38745864,,3960.4484409999995,60824.30985,No,86395.7471,22.59571966,255.92414109999999,15.38014151,90340.38709,70.0,45_and_up,4.0,814.6019587999999,10.0,Car,Services_or_Retail,651.3978258999999,0.0,Yes
5011,10.0,1013.708716,110322.2024,Education,337.90290530000004,,,Yes,Female,After_16:00,0.816890395,0.38194282,0.046850382,8.725025321,9.453202009,8.095333711,9864.0,56.94732771,367.6466156,4000.201603,45440.74303,No,106596.2667,19.17411316,222.6987014,70.96502418,114526.2763,100.0,Below_30,3.0,591.3282019,11.0,Public_or_other,Public_Sector,455.5943284,1.0,Yes
8723,6.0,927.9690364,86086.34919,Education,309.3230121,No,278.3056734,Yes,Male,After_16:00,0.674150529,,6.389154672999999,8.444588089,9.954593938,6.480581443999999,4982.0,19.56493531,524.9543615,3832.9654570000002,61730.23851,No,77454.04784,22.91188254,270.1178357,26.35512238,96000.04886,100.0,45_and_up,1.0,826.4349957000001,16.0,Car,Student_or_Unemployed,652.2910061000001,1.0,No
5598,10.0,251.5307565,34053.69209,Environment,83.84358549,No,406.1573928,Yes,Female,After_16:00,0.482126547,0.37738354700000004,7.260232416,6.9042260220000005,5.457147241,3.8989691580000003,5796.0,64.10850144,376.20693910000006,4813.987806,45569.0902,No,164963.8277,19.39605473,200.95627,91.13747822,7123.590414,90.0,45_and_up,2.0,565.4597974999999,11.0,Public_or_other,Student_or_Unemployed,372.5156261,2.0,No
7173,7.0,1299.868462,150025.2715,Education,433.28948719999994,Yes,346.2471995,Yes,Male,By_16:00,0.18672122600000002,0.081325253,7.3226852739999995,3.442597047,4.846253204,5.688586405,6689.0,33.25079307,90.58747428,3643.646943,16126.88755,Yes,119887.1231,9.517745231000001,572.747705,95.45137587,188183.0692,100.0,Below_30,2.0,181.23360359999998,15.0,Foot_or_bicycle,Hightech,130.1603136,0.0,No
9833,2.0,204.3294614,21181.61007,Financial,68.10982045,No,310.9920116,Yes,Male,By_16:00,0.481995936,,8.693692458,3.6967863519999997,1.470241717,4.230053944,3346.0,,296.6643921,3703.2489,41394.40056,No,96716.03127,17.22394822,280.2046779,2.604393917,4717.057462,60.0,30-45,1.0,567.1055234,6.0,Public_or_other,Public_Sector,538.0167385999999,0.0,No
1565,9.0,315.8513806,34672.53677,Social,105.2837935,,329.324539,Yes,Male,By_16:00,0.287103463,0.871627177,6.621271984,6.770838577999999,4.147930818,0.98382944,9768.0,18.16280731,366.3765545,4025.9984990000003,43696.16834,No,108454.65199999999,19.14096535,246.76644040000002,24.74935099,11199.96097,70.0,,2.0,553.7045446000001,7.0,Public_or_other,Services_or_Retail,382.0663832,0.0,Yes
446,8.0,1193.646052,175376.1457,Healthcare,397.88201739999994,Yes,440.7742445,Yes,Female,By_16:00,0.866683361,0.31977189100000003,7.685400199,8.963312521,1.192412749,0.502764117,5643.0,36.90857815,410.97459530000003,5229.691636,49862.902310000005,Yes,194281.9347,20.27250836,138.0470534,31.03290261,158717.9818,80.0,Below_30,2.0,620.2974412000001,13.0,Motorcycle_or_truck,Student_or_Unemployed,412.68576210000003,0.0,Yes
7322,7.0,186.8340008,28793.224939999996,Education,62.27800027,No,462.33380669999997,Yes,Female,After_16:00,,0.34018900799999996,0.139400584,3.644153818,7.283699603,7.358363129,5898.0,20.36040761,475.67659339999994,5574.691254,57071.25681,No,213752.5488,21.81001131,47.24595147,33.10786644,3950.827318,100.0,Below_30,0.0,716.8956761,14.0,Motorcycle_or_truck,Hightech,485.1067228,0.0,Yes
9038,3.0,2094.3547710000003,12786.902740000001,Education,698.1182570000001,Yes,18.31624171,Yes,Female,By_16:00,0.873036843,0.332298961,2.6473421790000002,2.4199767569999997,6.887198118,8.810435634,9518.0,27.61945748,344.1662217,871.4948606,31378.81768,Yes,335.4847103,18.55171749,613.3970118999999,78.82971915,488077.219,,30-45,4.0,388.4104375,12.0,Car,,153.65842759999998,1.0,Yes
