,Unnamed: 0,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,Looking_at_poles_int,Married_int,Gender_int,Voting_time_int,Financial_agenda_matters_int,Will_vote_only_large_party_int,Age_group_int,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Healthcare,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military,Main_transportation_Car,Main_transportation_Public_or_other,Main_transportation_Foot_or_bicycle,Main_transportation_Motorcycle_or_truck,Occupation_Services_or_Retail,Occupation_Public_Sector,Occupation_Student_or_Unemployed,Occupation_Hightech,Occupation_Industry_or_other
Unnamed: 0,1.0,0.03093265200665654,0.0028281409039270086,0.0025512920756798367,0.002991735948677628,0.009680363329797749,0.004274952253173719,0.005565275350052216,0.0018990749256982509,6.037889556245749e-05,0.015085246608645898,0.008152627316259783,0.006408262090438648,0.004228366652946602,0.009851546751932968,0.007216961751304383,0.006359463573994851,0.011506305443138307,0.007918677653607572,0.0140342638943751,0.0027786114673818045,0.005099563367001632,0.002583508198248129,0.001260637152637935,0.005477366021649825,0.007897381455207474,0.0001644689859895184,0.00015469438829316412,0.0010887152992524027,0.013343103373801384,0.018029510678638047,0.001504332117942777,0.007990419267159397,0.0005219444576192071,0.017497814101025664,0.0020222935739639693,0.006498299942494411,0.004184318063599935,0.0010936664171546705,0.004154295530769562,0.0024985846070853623,0.001980851378224196,0.009502553313490768,0.012414205370018801,0.009139306435056987,0.009769194595291639,0.007224505559078319,0.0034444780978008767,0.0032692980957864633,0.013079246871892339,0.001868521786706055,0.0110458998950932
Occupation_Satisfaction,0.03093265200665654,1.0,0.011217107998306214,0.021117260909272607,0.013192901122438825,0.0279250960712357,0.02114785856421452,0.0017708731188538853,0.02418454148563753,0.02519427640272098,0.0021555513737325223,0.003540462442240739,0.032591617417664594,0.002278546516310405,0.024539702588282825,0.026799860570236467,0.0284466472570936,0.032039679611004006,0.020541565648781727,0.0013225069772798748,0.010373740949524288,0.013891302413709825,0.015862228103698455,0.006337056628541987,0.019619549118452543,0.0007390214079029937,0.005170215347900067,0.01019736880867056,0.010093666258101165,0.03355210165778969,0.012052859434444787,0.012379788502160153,0.0058665218306162455,0.0039118478918957434,0.01609710796676142,0.009688338563635795,0.010242002539798501,0.005420112858374792,0.005623729566952363,0.005215075739424138,0.0015312912787637809,0.004078305522172341,0.01778754733030276,0.01868228521716579,0.004572538907058103,0.0015604999112574702,0.028108823686109223,0.005155396387673281,0.013586195108029197,0.019480498291029217,0.00302540079818818,0.005168150222927841
Avg_monthly_expense_when_under_age_21,0.0028281409039270086,0.011217107998306214,1.0,0.8346418987087387,0.9873591452927939,0.002133062041522023,0.0136387492607494,0.00810861554077187,0.010005381116679386,0.007904448615036221,0.006638814575867281,0.0031844313930436746,0.002164360893038679,0.003232787097038894,0.13178894639021546,0.018691200846834826,0.16295144628252542,0.05854647558546062,0.18183761405736,0.3147098919277967,0.011514879705057723,0.9285314697832585,0.11383879963147883,0.0017345575732619436,0.20303165303381748,0.2317909967600283,0.23483324691122176,0.03521141600607329,0.6823155342151468,0.14204621598642056,0.008761920894880038,0.005128523078244331,0.00035002898480354617,0.6143996853180775,0.018968633323028266,0.025329322993849178,0.03655384951363676,0.013266525914880813,0.018127591837828864,0.038693976632631896,0.07404745024566638,0.069559225190993,0.09444783949853391,0.0013195930444580234,0.0023924642781943343,0.002058090080411443,0.002861914994877006,0.0015510418476068625,0.001270622606854542,0.001325699741304529,0.010367225039055194,0.009636091490702037
AVG_lottary_expanses,0.0025512920756798367,0.021117260909272607,0.8346418987087387,1.0,0.8378393743706833,0.41263874640557713,0.008435525067874343,0.020544684785613682,0.00186955498374708,0.010616322892966937,0.003226242982038172,0.0051116265302683815,0.0044922234295889756,0.0063670000312409806,0.022601852379237716,0.38567353481051586,0.019421089523482434,0.4257618902247235,0.06456920963034818,0.08461825574532905,0.01562749795336438,0.7961767124066121,0.08143554073870726,0.002778197821740185,0.0690549021580645,0.16342283028553925,0.22499947455980482,0.023872664024618826,0.5823116229374906,0.3968479059441034,0.003308420922691711,0.005184544845572709,0.006877160252059547,0.5320107576491735,0.017573418340162072,0.02686348623979945,0.02685576075952091,0.0013707145499731528,0.006732172667000208,0.031239902994081442,0.047967795044290336,0.05664538324870763,0.07000311127184446,0.009845633864965462,0.010438190724877554,0.014288438065587994,0.01163676630604585,0.0015731128185806405,0.003434822965827475,0.0034214605758031984,0.004411702526499192,0.015936222778105504
Avg_Satisfaction_with_previous_vote,0.002991735948677628,0.013192901122438825,0.9873591452927939,0.8378393743706833,1.0,0.007340181355418841,0.011063422695013375,0.014030482775843527,0.01101956018892606,0.0041564073412845804,0.005848890868024281,0.0021181055755704593,0.0010840302856417855,0.0035810277335334307,0.13016874184169477,0.013537702944417094,0.16107139179805616,0.06370879591264922,0.18057167721155526,0.31388006536268304,0.01408503642846229,0.928992515478464,0.11510475469465231,0.00360810124475567,0.20277511742193818,0.23280590908468785,0.23819371159788807,0.0336103726010709,0.6841520705322228,0.1475074011732805,0.011801638427609762,0.005578473645599555,0.002781476542379463,0.6160883190964682,0.018359783064124363,0.02055665073848499,0.038084538453103695,0.016312474173204743,0.019966560350155208,0.03718671108347779,0.07516541866573313,0.07045278233308802,0.09314829233076942,0.002571890256322935,7.577180184578162e-05,0.0023644836127531678,0.0020279651075285044,0.002978261399859287,0.0005687610931761878,0.0008593669410252661,0.006577773160066765,0.008668053665358234
Garden_sqr_meter_per_person_in_residancy_area,0.009680363329797749,0.0279250960712357,0.002133062041522023,0.41263874640557713,0.007340181355418841,1.0,0.0053686088875672805,0.018874595017455417,0.01878434633210348,0.026119898123783333,0.005054217553255347,0.02493719100620374,0.0019264094484857303,0.0011244356119806617,0.31623663087789405,0.9827521217865064,0.45414982326854,0.9663258768618248,0.27757256206477665,0.3794547728174527,0.0043699011646592826,0.01492814748078082,0.05489951006479833,0.012641637547343602,0.30256459037390737,0.1373210866034867,0.10463086031174502,0.00028782459498462114,0.0033372426217330954,0.7217740315755001,0.01473100576059498,0.0032849523167176814,0.003043912450414073,0.029966498030424532,0.0042843607540631375,0.010818338796283996,0.013372366375549014,0.012500341346678618,0.021132204788520115,0.016475443110114976,0.06691373131548632,0.01721683890172274,0.03821649159833972,0.012496224009383751,0.0019579269651843695,0.016112745069573966,0.003435562794059916,0.0010661847756741774,0.009709351845307336,0.012829270661442573,0.01366397657194398,0.011523938246532583
Financial_balance_score_(0-1),0.004274952253173719,0.02114785856421452,0.0136387492607494,0.008435525067874343,0.011063422695013375,0.0053686088875672805,1.0,0.003022469617016907,0.0037822570829585695,0.0157349009876019,0.0008740522178510786,0.0045613294404975,0.005884505812967311,0.0013087433438902791,0.012925256967866996,0.004515346517477944,0.007827650788211833,0.001417531051142869,0.009269777877815988,0.017172666917753543,0.004625301092965172,0.011711500641428745,0.005844947447853122,0.026071139887994577,0.003471886293206942,0.010891352158178588,0.005383383439360998,0.004345228841167534,0.00415263990912114,0.0008861944725064083,0.01440504749873747,0.011226874136856132,0.012760521682101605,0.010421987183521367,0.02003930110352126,0.017155331460407326,0.00570525026276269,0.005120489096200624,0.001534743030684296,0.006213291165901819,0.008859133079624878,0.005795890611827031,0.009909555316115128,0.0004866122110440538,0.003986398738721282,0.0006567269843323688,0.004746333884323815,0.020203557540146383,0.005521119259226034,0.005980779144102183,0.015442043949953915,0.004091417749351368
%Of_Household_Income,0.005565275350052216,0.0017708731188538853,0.00810861554077187,0.020544684785613682,0.014030482775843527,0.018874595017455417,0.003022469617016907,1.0,0.00354170977020739,0.0005888733791063134,0.0011044125442972838,0.007880199751959936,0.0011910268845407442,0.0010577596057511243,0.0025240297200080893,0.017636976252386142,0.00039232213927692963,0.020912820142847476,0.008598245588777002,0.003945394447442969,0.004709252547180789,0.008170990540037048,0.011290437510344507,0.020078459017135893,0.002241643943415699,0.007272072931373641,0.00850978676181293,0.007177490628997284,0.00877180154879195,0.01195061775498788,0.009143715437497408,0.021547237901544152,0.018857485812774886,0.010297372394043984,0.009294331969053944,0.01791712131394756,0.00819601195770404,0.007253171648657959,0.014420299823376007,0.013038613390517338,0.014955312026076745,0.005834366120540406,0.02081752566276084,0.002179749407317431,0.015403739869410142,0.004564243806102693,0.01264552769508715,0.003142098381968909,0.008988523886969253,0.022180605098336054,0.0080495115246694,0.0014274460153470584
Avg_government_satisfaction,0.0018990749256982509,0.02418454148563753,0.010005381116679386,0.00186955498374708,0.01101956018892606,0.01878434633210348,0.0037822570829585695,0.00354170977020739,1.0,0.00104044864723917,0.0030747553841511473,0.00211987481280822,0.02174459935335909,0.008418660801422584,0.012852770092735348,0.018178355831611145,0.016315577850599415,0.015009597823501588,0.014677501963511698,0.0088968397989436,0.013261728654764968,0.013793902061514728,0.004421724193033481,0.0019449287872912847,0.012511889125039604,0.008638546659256147,0.003312479534677738,0.006034139952586177,0.025005496855591475,0.020975419170413085,0.02004340714538669,0.019781071961289136,0.0072305139081703124,0.022421312902211155,0.016832721420200245,0.023009075170314672,1.694773446101403e-05,0.010518931107909512,0.007906165173048589,0.012545201742321878,0.008399122113929236,0.004650170190549021,0.011941700027764913,0.0015240551803124757,0.008127720087064463,0.003864112631825019,0.005728795904637103,0.001806615153857753,0.005859066494634429,0.012909766695540672,0.002657017075680211,0.004525820162723285
Avg_education_importance,6.037889556245749e-05,0.02519427640272098,0.007904448615036221,0.010616322892966937,0.0041564073412845804,0.026119898123783333,0.0157349009876019,0.0005888733791063134,0.00104044864723917,1.0,0.003899946929581761,0.006223358789817978,0.02141050913856426,0.00463104008064098,0.010488137710187065,0.02735866742765832,0.021179639278392073,0.028083816768640763,0.009201889559191215,0.014941665916169989,0.0026383321242418535,0.006745380604240028,0.0066537094287998436,0.016113297222196996,0.022370763048857635,0.008890432607957112,0.022453236768602457,0.020750925669721858,0.010820470896552395,0.015417409212788127,0.011328031644925898,0.0071461787648455285,0.00912698841464487,0.0075092299638186664,0.005881707598378218,0.011294089831398433,0.015246900375828158,0.011252800865022968,0.027569515791117275,0.004128936831748378,0.0005876960385874904,0.014111039428659442,0.00038552169494487535,0.0024967083581689414,0.023139784779247045,0.023839770109340908,0.007113250710568306,0.015901221947954285,0.008138842921785612,0.009697763029334077,0.01013903780815066,0.007494579449148914
