,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,Looking_at_poles_int,Married_int,Gender_int,Voting_time_int,Financial_agenda_matters_int,Will_vote_only_large_party_int,Age_group_int,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Healthcare,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military,Main_transportation_Car,Main_transportation_Public_or_other,Main_transportation_Foot_or_bicycle,Main_transportation_Motorcycle_or_truck,Occupation_Services_or_Retail,Occupation_Public_Sector,Occupation_Student_or_Unemployed,Occupation_Hightech,Occupation_Industry_or_other
0,6.0,900.1516698999999,88194.3206,300.0505566,293.9315347,0.045639919,0.115285765,2.554705867,2.530045465,5.954510865,,,75.38745864,,3960.448441,60824.30985,86395.7471,22.59571966,255.9241411,15.38014151,90340.38709,70.0,4.0,814.6019587999998,10.0,651.3978258999998,0.0,0.0,1.0,0.0,1.0,1.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,10.0,1013.708716,110322.2024,337.9029053000001,,0.816890395,0.38194282,0.046850382,8.725025321,9.453202009,8.095333711,9864.0,56.94732771,367.6466156,4000.201603,45440.74303,106596.2667,19.17411316,222.6987014,70.96502418,114526.2763,100.0,3.0,591.3282019,11.0,455.5943284,1.0,,1.0,0.0,1.0,1.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,6.0,927.9690364,86086.34919,309.3230121,278.3056734,0.674150529,,6.389154672999999,8.444588089,9.954593938,6.4805814439999985,4982.0,19.56493531,524.9543615,3832.965457,61730.23851,77454.04784,22.91188254,270.1178357,26.35512238,96000.04886,100.0,1.0,826.4349957000002,16.0,652.2910061000001,1.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,10.0,251.5307565,34053.69209,83.84358549,406.1573928,0.482126547,0.377383547,7.260232416,6.9042260220000005,5.457147241,3.898969158,5796.0,64.10850144,376.20693910000006,4813.987806,45569.0902,164963.8277,19.39605473,200.95627,91.13747822,7123.590414,90.0,2.0,565.4597974999998,11.0,372.5156261,2.0,0.0,1.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,7.0,1299.868462,150025.2715,433.2894872,346.2471995,0.186721226,0.081325253,7.322685273999999,3.442597047,4.846253204,5.688586405,6689.0,33.25079307,90.58747428,3643.646943,16126.88755,119887.1231,9.517745231000001,572.747705,95.45137587,188183.0692,100.0,2.0,181.2336036,15.0,130.1603136,0.0,1.0,1.0,1.0,0.0,0.0,2.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,2.0,204.3294614,21181.61007,68.10982045,310.9920116,0.481995936,,8.693692458,3.696786352,1.470241717,4.230053944,3346.0,,296.6643921,3703.2489,41394.40056,96716.03127,17.22394822,280.2046779,2.604393917,4717.057462,60.0,1.0,567.1055234,6.0,538.0167385999998,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,9.0,315.8513806,34672.53677,105.2837935,329.324539,0.287103463,0.871627177,6.621271984,6.770838577999999,4.147930818,0.98382944,9768.0,18.16280731,366.3765545,4025.998499,43696.16834,108454.652,19.14096535,246.7664404,24.74935099,11199.96097,70.0,2.0,553.7045446000002,7.0,382.0663832,0.0,,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,8.0,1193.646052,175376.1457,397.8820174,440.7742445,0.866683361,0.31977189100000003,7.685400199,8.963312521,1.192412749,0.502764117,5643.0,36.90857815,410.9745953,5229.691636,49862.90231000001,194281.9347,20.27250836,138.0470534,31.03290261,158717.9818,80.0,2.0,620.2974412000002,13.0,412.6857621,0.0,1.0,1.0,0.0,0.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,7.0,186.8340008,28793.22494,62.27800027,462.3338067,,0.340189008,0.139400584,3.644153818,7.283699603,7.358363129,5898.0,20.36040761,475.6765934,5574.691254,57071.25681,213752.5488,21.81001131,47.24595147,33.10786644,3950.827318,100.0,0.0,716.8956761,14.0,485.1067228,0.0,0.0,1.0,0.0,1.0,1.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9,3.0,2094.3547710000007,12786.90274,698.1182570000002,18.31624171,0.873036843,0.332298961,2.647342179,2.419976757,6.887198118,8.810435634,9518.0,27.61945748,344.1662217,871.4948606,31378.81768,335.4847103,18.55171749,613.3970118999998,78.82971915,488077.219,,4.0,388.4104375,12.0,153.65842759999995,1.0,1.0,1.0,0.0,0.0,1.0,2.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
