,Unnamed: 0,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,Looking_at_poles_int,Married_int,Gender_int,Voting_time_int,Financial_agenda_matters_int,Will_vote_only_large_party_int,Age_group_int,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Healthcare,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military,Main_transportation_Car,Main_transportation_Public_or_other,Main_transportation_Foot_or_bicycle,Main_transportation_Motorcycle_or_truck,Occupation_Services_or_Retail,Occupation_Public_Sector,Occupation_Student_or_Unemployed,Occupation_Hightech,Occupation_Industry_or_other
Unnamed: 0,0,1.12E-15,1.60E-17,1.30E-18,9.97E-18,1.91E-17,0,1.30E-17,6.51E-18,2.95E-18,1.73E-18,3.64E-17,6.94E-18,0,4.51E-17,3.47E-18,3.73E-17,3.47E-17,5.03E-17,5.90E-17,6.51E-18,2.60E-18,7.11E-17,5.64E-18,0,9.89E-17,1.26E-17,3.21E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occupation_Satisfaction,1.12E-15,0,4.32E-16,9.16E-16,4.77E-16,1.17E-15,8.08E-16,5.06E-17,1.03E-15,1.00E-15,9.93E-17,1.39E-16,1.29E-15,1.07E-16,8.71E-16,1.08E-15,1.19E-15,1.20E-15,9.30E-16,7.04E-17,4.15E-16,5.64E-16,3.61E-16,9.19E-17,7.88E-16,4.60E-17,1.40E-16,4.96E-16,9.49E-16,1.12E-15,5.60E-16,4.67E-16,2.01E-16,2.45E-16,5.83E-16,6.77E-17,1.54E-16,3.53E-16,2.39E-16,1.47E-16,5.64E-18,1.04E-16,6.94E-16,8.95E-16,1.13E-16,3.02E-16,3.71E-16,1.73E-16,3.35E-16,1.44E-15,7.81E-18,2.43E-17
Avg_monthly_expense_when_under_age_21,1.60E-17,4.32E-16,0,2.66E-15,1.78E-15,2.82E-17,1.39E-17,5.20E-18,3.47E-17,7.81E-18,2.26E-17,3.08E-17,2.56E-17,2.82E-17,5.55E-16,1.39E-17,1.94E-16,6.94E-18,3.05E-16,2.78E-16,5.20E-17,3.00E-15,3.05E-15,2.68E-17,5.55E-16,4.39E-15,5.55E-16,6.52E-16,4.77E-15,8.33E-17,2.78E-17,3.12E-17,4.45E-17,2.55E-15,7.98E-17,1.32E-16,6.94E-18,1.21E-17,1.94E-16,2.29E-16,8.33E-17,6.94E-17,1.11E-16,1.73E-18,2.60E-18,1.52E-17,8.67E-18,4.28E-17,5.08E-18,2.23E-17,7.98E-17,8.85E-17
AVG_lottary_expanses,1.30E-18,9.16E-16,2.66E-15,0,3.66E-15,1.05E-15,1.99E-17,1.39E-17,1.73E-18,3.82E-17,1.47E-17,5.03E-17,2.95E-17,1.65E-17,3.82E-17,5.00E-16,9.02E-17,1.28E-15,2.64E-16,2.36E-16,5.20E-17,1.11E-16,2.25E-15,9.19E-17,5.55E-17,1.94E-15,9.16E-16,7.88E-16,8.88E-16,1.05E-15,2.04E-17,1.04E-17,4.29E-17,5.55E-16,2.08E-17,0,6.59E-17,1.51E-17,2.95E-17,2.15E-16,6.25E-17,1.67E-16,6.94E-17,1.91E-17,1.21E-17,1.06E-16,1.73E-17,1.34E-17,3.30E-17,6.07E-18,2.30E-17,1.04E-17
Avg_Satisfaction_with_previous_vote,9.97E-18,4.77E-16,1.78E-15,3.66E-15,0,4.16E-17,4.16E-17,6.94E-18,1.73E-18,1.89E-17,8.67E-18,4.86E-17,1.73E-17,6.51E-18,4.44E-16,6.07E-17,1.17E-15,2.22E-16,2.78E-16,1.55E-15,3.47E-18,2.33E-15,3.03E-15,1.42E-17,1.28E-15,3.58E-15,1.80E-15,1.17E-15,1.89E-15,5.00E-16,8.67E-18,1.56E-17,1.60E-17,4.44E-16,2.43E-17,1.04E-16,6.25E-17,3.99E-17,8.33E-17,2.08E-17,9.71E-17,4.16E-16,2.50E-16,3.60E-17,9.32E-18,1.40E-17,5.91E-18,3.51E-17,8.67E-19,3.47E-18,5.81E-17,4.34E-17
Garden_sqr_meter_per_person_in_residancy_area,1.91E-17,1.17E-15,2.82E-17,1.05E-15,4.16E-17,0,5.64E-17,4.86E-17,3.82E-17,8.33E-17,4.08E-17,3.47E-17,3.08E-17,2.08E-17,3.89E-16,8.44E-15,1.17E-15,3.11E-15,2.22E-16,6.66E-16,3.47E-18,1.11E-16,1.56E-15,5.55E-17,0,1.58E-15,3.89E-16,1.86E-17,3.04E-18,9.99E-16,8.33E-17,1.69E-17,2.39E-17,1.08E-16,3.56E-17,3.82E-17,2.26E-17,1.39E-17,6.59E-17,2.78E-17,6.94E-17,1.73E-17,4.86E-17,4.68E-17,9.54E-18,1.98E-16,2.82E-17,6.38E-17,9.54E-17,2.60E-17,1.93E-16,1.21E-17
Financial_balance_score_(0-1),0,8.08E-16,1.39E-17,1.99E-17,4.16E-17,5.64E-17,0,1.86E-17,7.20E-17,6.94E-18,3.05E-17,1.13E-17,4.08E-17,1.89E-17,1.21E-17,2.78E-17,6.07E-18,9.54E-18,2.43E-17,1.11E-16,5.29E-17,1.01E-16,1.65E-16,8.33E-17,2.47E-17,2.17E-16,1.21E-17,1.01E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
%Of_Household_Income,1.30E-17,5.06E-17,5.20E-18,1.39E-17,6.94E-18,4.86E-17,1.86E-17,0,9.11E-18,1.98E-17,1.76E-18,4.51E-17,9.65E-18,2.83E-17,6.94E-18,1.39E-17,1.23E-17,5.90E-17,7.81E-18,4.25E-17,6.07E-18,1.73E-18,3.94E-16,4.86E-17,8.24E-18,5.55E-17,2.43E-17,1.80E-16,5.20E-18,2.60E-17,8.67E-18,6.59E-17,1.04E-17,3.47E-18,4.16E-17,3.12E-17,3.64E-17,2.17E-17,1.04E-17,3.30E-17,1.73E-17,3.82E-17,1.73E-17,3.90E-18,4.86E-17,2.78E-17,3.30E-17,6.94E-18,2.95E-17,6.94E-18,1.13E-17,1.39E-17
Avg_government_satisfaction,6.51E-18,1.03E-15,3.47E-17,1.73E-18,1.73E-18,3.82E-17,7.20E-17,9.11E-18,0,5.75E-18,1.26E-17,1.47E-17,3.47E-18,1.21E-17,7.11E-17,1.53E-16,5.55E-17,5.38E-17,1.27E-16,4.34E-17,5.03E-17,8.67E-17,1.51E-16,2.65E-17,1.04E-17,1.44E-16,4.60E-17,1.36E-16,2.22E-16,2.29E-16,9.02E-17,6.59E-17,1.39E-17,1.39E-17,9.71E-17,1.01E-16,1.07E-17,1.04E-17,8.67E-19,2.43E-17,3.82E-17,8.67E-18,4.68E-17,1.63E-17,7.20E-17,6.94E-18,4.34E-18,2.17E-18,1.82E-17,4.16E-17,8.02E-18,9.54E-18
Avg_education_importance,2.95E-18,1.00E-15,7.81E-18,3.82E-17,1.89E-17,8.33E-17,6.94E-18,1.98E-17,5.75E-18,0,1.47E-17,3.82E-17,8.67E-17,1.21E-17,2.26E-17,7.29E-17,7.98E-17,8.67E-17,5.20E-18,6.77E-17,1.52E-18,7.81E-18,2.34E-16,1.39E-17,1.39E-17,1.51E-16,8.67E-17,6.49E-16,8.67E-18,3.30E-17,6.94E-18,1.47E-17,5.03E-17,1.13E-17,7.81E-18,5.03E-17,1.04E-17,3.64E-17,1.21E-16,2.60E-18,3.04E-18,8.67E-17,3.03E-17,9.97E-18,6.94E-18,1.04E-16,2.26E-17,1.04E-17,1.73E-18,3.64E-17,3.64E-17,2.43E-17
